CustomerCode,CustomerName,Association,StoreBrand,StreetAddress,Suburb,City,PostCode,GPSPoint,LAT,LON
144610,Diamond Harbour 4 Square,Foodstuffs South Island,4SQ,143 MARINE DRIVE,DIAMOND HARBOUR,CHRISTCHURCH,8971,POINT (172.7242671 -43.6289927),-43.6289927,172.7242671
112188,Star On The Spot,Route,,192A North Street,West End,TIMARU,8601,POINT (171.2302781 -44.4007182),-44.4007182,171.2302781
142977,Henry's Timaru,Foodstuffs South Island,LH,CORNER WAI-ITI ROAD & SEALY STREETS,HIGHFIELD,TIMARU,8601,POINT (171.2224046 -44.3903677),-44.3903677,171.2224046
142996,Woolston LH,Foodstuffs South Island,LH,8 Portman Street,Woolston,CHRISTCHURCH,8241,POINT (172.6825641 -43.5485547),-43.5485547,172.6825641
143944,D n D Dairy,NSBI,,45 Bowhill Road,NEW BRIGHTON,CHRISTCHURCH,8083,POINT (172.7244944 -43.4957715),-43.4957715,172.7244944
129739,Effingham Dairy,NSBI,,81 Effingham Street,NORTH NEW BRIGHTON,CHRISTCHURCH,8083,POINT (172.7183019 -43.4907987),-43.4907987,172.7183019
141657,Parnwell Superette,Route,,75 Bassett Street,BURWOOD,CHRISTCHURCH,8083,POINT (172.6887806 -43.4957889),-43.4957889,172.6887806
144704,Keyes Dairy,Route,,152 KEYES ROAD,NEW BRIGHTON,CHRISTCHURCH,8083,POINT (172.7162728 -43.4976964),-43.4976964,172.7162728
129672,Bower Ave Dairy,Route,,Shop 2 10 BOWER AVENEUE,NEW BRIGHTON,CHRISTCHURCH,8083,POINT (172.7098543 -43.5034771),-43.5034771,172.7098543
112515,Green Haven Dairy,Route,,253 Burwood Road,Burwood,CHRISTCHURCH,8083,POINT (172.680794 -43.4836395),-43.4836395,172.680794
143381,Prestons New World,Foodstuffs South Island,NW,420 Marshland Road,Prestons,CHRISTCHURCH,8083,POINT (172.65988 -43.47512),-43.47512,172.65988
142941,Parklands LH,Foodstuffs South Island,LH,6 Inwoods Road,Parklands,CHRISTCHURCH,8083,POINT (172.6981042 -43.4812437),-43.4812437,172.6981042
129396,Leslies Bookshop,Route,,29B LONDON STREET,SPRINGFIELD,CHRISTCHURCH,8082,POINT (172.7212317 -43.6027251),-43.6027251,172.7212317
142954,Redcliffs 4 Square,Foodstuffs South Island,4SQ,188 Main Road,Redcliffs,CHRISTCHURCH,8081,POINT (172.7389984 -43.5624982),-43.5624982,172.7389984
144013,The One Dairy,Route,,5 Buckleys Road,LINWOOD,CHRISTCHURCH,8062,POINT (172.6732619 -43.5331717),-43.5331717,172.6732619
129547,Thirsty Liquor Linwood,Route,,21b Aldwins Road,PHILLIPSTOWN,CHRISTCHURCH,8062,POINT (172.6659027 -43.5421559),-43.5421559,172.6659027
128974,McGregors Road Superette,NSBI,,26 Mcgregors Road,BROMLEY,CHRISTCHURCH,8062,POINT (172.6822531 -43.5364473),-43.5364473,172.6822531
128569,Hels Foodbar,Route,,142 MACES ROAD,BROMLEY,CHRISTCHURCH,8062,POINT (172.6938083 -43.5369732),-43.5369732,172.6938083
129872,Koki Dairy,Route,,397 LINWOOD AVENUE,BROMLEY,CHRISTCHURCH,8062,POINT (172.681874 -43.5386335),-43.5386335,172.681874
129954,Worcester Discounter,Route,,403 WORCESTER STREET,LINWOOD,CHRISTCHURCH,8062,POINT (172.6575659 -43.530783),-43.530783,172.6575659
128937,Spice Heaven,Route,,SHOP 4 103 STANMORE ROAD,LINWOOD,CHRISTCHURCH,8062,POINT (172.6568481 -43.5300023),-43.5300023,172.6568481
143601,One Stop Convenience Store,Route,,291a Breezes Road,ARANUI,CHRISTCHURCH,8061,POINT (172.7015963 -43.5169341),-43.5169341,172.7015963
129121,Hampshire Dairy and Fruit Supply,Route,,61 Hampshire Street,ARANUI,CHRISTCHURCH,8061,POINT (172.7011698 -43.510847),-43.510847,172.7011698
145340,Super Discount Dairy,Route,,15 Beresford Street,,CHRISTCHURCH,8061,POINT (172.7302466 -43.5080683),-43.5080683,172.7302466
129060,Pannell Discounter,Route,,22 Wainoni Road,WAINONI,CHRISTCHURCH,8061,POINT (172.6831074 -43.5203626),-43.5203626,172.6831074
129097,Kerrs Road dairy,Route,,102 Kerrs Road,AVONSIDE,CHRISTCHURCH,8061,POINT (172.6816007 -43.5224302),-43.5224302,172.6816007
141885,City Express Discounter,Route,,724 Gloucester Street,AVONSIDE,CHRISTCHURCH,8061,POINT (172.6729879 -43.5248355),-43.5248355,172.6729879
115362,New Brighton Lotto,Route,,99 Seaview Road,NEW BRIGHTON,CHRISTCHURCH,8061,POINT (172.7270232 -43.5079616),-43.5079616,172.7270232
144432,Shirley Discounter,Route,,118 MARSHLAND ROAD,SHIRLEY,CHRISTCHURCH,8061,POINT (172.6624585 -43.4989992),-43.4989992,172.6624585
110875,Bridge Street Dairy,Route,,86 Estuary Road,New Brighton,CHRISTCHURCH,8061,POINT (172.7322812 -43.523129),-43.523129,172.7322812
129533,Hampshire Mini Market,North South Buyers,,51 HAMPSHIRE STREET,ARANUI,CHRISTCHURCH,8061,POINT (172.7009831 -43.511122),-43.511122,172.7009831
118000,Laxmi Foodstore,Route,,3/317 Pages Road,Linwood,CHRISTCHURCH,8061,POINT (172.7006246 -43.5177609),-43.5177609,172.7006246
143090,Wainoni PAKnSAVE,Foodstuffs South Island,PNS,174 Wainoni Road,Avondale,CHRISTCHURCH,8061,POINT (172.6927622 -43.5121792),-43.5121792,172.6927622
142651,Haast Food Acc. Centre,Foodstuffs South Island,PNS,174 Wainoni Road,AVONDALE,CHRISTCHURCH,8061,POINT (172.6927622 -43.5121792),-43.5121792,172.6927622
145176,Citi Convenience Store,Route,,475 Papanui Road,,CHRISTCHURCH,8053,POINT (172.6092184 -43.4987054),-43.4987054,172.6092184
143542,Featherstone Dairy,Route,,162 Harris Crescent,PAPANUI,CHRISTCHURCH,8053,POINT (172.5961397 -43.4915511),-43.4915511,172.5961397
144930,Alex Store Ilam,Route,,43B ILAM ROAD,BRYNDWR,CHRISTCHURCH,8053,POINT (172.5797605 -43.5282818),-43.5282818,172.5797605
141877,Bishopdale Books and Post,Route,,31 Bishopdale Court,BISHOPDALE,CHRISTCHURCH,8053,POINT (172.5872381 -43.4889569),-43.4889569,172.5872381
118063,Bishopdale Discounter,Route,,2a Leacroft Street,BISHOPDALE,CHRISTCHURCH,8053,POINT (172.5806298 -43.4902589),-43.4902589,172.5806298
121375,Aorangi Dairy,Route,,169f Wairakei Road,Bryndwr,CHRISTCHURCH,8053,POINT (172.5943107 -43.5038298 0),-43.4902589,172.5943107
129959,Farrington Dairy,Route,,133 FARRINGTON AVENUE,BISHOPDALE,CHRISTCHURCH,8053,POINT (172.5875226 -43.4898431),-43.4902589,172.5875226
142048,Kims Corner Dairy,Route,,257a Greers Road,BRYNDWR,CHRISTCHURCH,8053,POINT (172.5857175 -43.4999367),-43.4902589,172.5857175
129868,Wairakei Discount Dairy,Route,,264 Wairakei Road,BRYNDWR,CHRISTCHURCH,8053,POINT (172.5869158 -43.499776),-43.4902589,172.5869158
145241,Wairakei Convenience Store,NSBI,,88 Aorangi Road,BRYNDWR,CHRISTCHURCH,8053,POINT (172.5939102 -43.5033002),-43.4902589,172.5939102
129142,Kosco Papanui,Route,,21 LANGDONS ROAD,PAPANUI,CHRISTCHURCH,8053,POINT (172.6079345 -43.4942756),-43.4902589,172.6079345
144447,Wairakei Road LH,Foodstuffs South Island,LH,289 WAIRAKEI ROAD,BRYNDWR,CHRISTCHURCH,8053,POINT (172.5854404 -43.499473),-43.4902589,172.5854404
110532,Roll On In Dairy,Route,,251 Sawyers Arms Road,Bishopdale,CHRISTCHURCH,8053,POINT (172.5933377 -43.481812),-43.4902589,172.5933377
129217,Dollar Store - Party & Living,NSBI,,27 BISHOPDALE COURT,BISHOPDALE,CHRISTCHURCH,8053,POINT (172.5871257 -43.4891058),-43.4902589,172.5871257
142888,Fendalton New World,Foodstuffs South Island,NW,19-23 Memorial Avenue,FENDALTON,CHRISTCHURCH,8053,POINT (172.5878535 -43.5182068),-43.4902589,172.5878535
142639,Bishopdale LH,Foodstuffs South Island,HNR,"Shop 73, Bishopdale Village Mall 333 Harewood Road",Bishopdale,CHRISTCHURCH,8053,POINT (172.586403 -43.4878942),-43.4902589,172.586403
142640,Bishopdale New World,Foodstuffs South Island,NW,Bishopdale Mall Cnr Farrington Avenue and Harewood Road,Bishopdale,CHRISTCHURCH,8053,POINT (172.5877636 -43.4895014),-43.4902589,172.5877636
129031,Airport Food Centre & Dairy,NSBI,,UNT1B/567 WAIRAKEI ROAD,BURNSIDE,CHRISTCHURCH,8053,POINT (172.5622423 -43.4886206),-43.4902589,172.5622423
141668,Briggston Dairy,Route,,75 Briggs Road,SHIRLEY,CHRISTCHURCH,8052,POINT (172.6547759 -43.4958021),-43.4902589,172.6547759
110990,Nancy Ave Dairy,Route,,55 Nancy Avenue,ST ALBANS,CHRISTCHURCH,8052,POINT (172.6364669 -43.4979489),-43.4902589,172.6364669
128813,Langdons Road Foodmarket,NSBI,,166 LANGDONS ROAD,NORTHCOTE,CHRISTCHURCH,8052,POINT (172.5993359 -43.4896738),-43.4902589,172.5993359
144632,Fiveways Dairy,Route,,418 INNES ROAD,MAIREHAU,CHRISTCHURCH,8052,POINT (172.6414971 -43.4985168),-43.4902589,172.6414971
129646,Morrison Ave Dairy,Route,,1D MORRISON AVENUE,NORTHCOTE,CHRISTCHURCH,8052,POINT (172.5991231 -43.4893823),-43.4902589,172.5991231
113751,Elmwood Minimarket Ltd,Route,,10 Normans Road,STROWAN,CHRISTCHURCH,8052,POINT (172.607488 -43.5101 0),-43.4902589,172.607488
142642,Northlands PAKnSAVE,Foodstuffs South Island,PNS,Northlands Shopping Centre 55 Main North Road,Papanui,CHRISTCHURCH,8052,POINT (172.6094987 -43.4941827),-43.4902589,172.6094987
128971,Styx Family Dairy,NSBI,,"356d Main North Road, Redwood",REDWOOD,CHRISTCHURCH,8051,POINT (172.617486 -43.4727168),-43.4902589,172.617486
