PlatformNo,Platform number,Lat,Long,Tag,Top,Cash,,,
44108,Addington Village,-43.54387,172.61117,7557,341,1667,,,
28142,Addington Village,-43.54292,172.61303,3575,160,,,,
45477,Aidanfield Dr near Bibiana St,-43.56582,172.57434,1279,40,184,,,
47192,Aidanfield Dr near Bibiana St,-43.56596,172.57423,143,2,,,,
51086,Aidenfield (near McMahon Dr),-43.56249,172.56678,2359,72,321,,,
51093,Aidenfield (near McMahon Dr),-43.56244,172.56643,243,9,,,,
19714,Airport/Antarctic Centre,-43.48826,172.54628,2886,141,411,,,
19722,Airport/Antarctic Centre,-43.48853,172.5462,397,8,,,,
36917,Aldwins Rd near Bass St,-43.53911,172.66825,2125,57,909,,,
37853,Aldwins Rd near Bass St,-43.53911,172.66796,1753,33,,,,
37750,Aldwins Rd near Edmond St,-43.54089,172.66674,4716,229,1496,,,
36901,Aldwins Rd near Harrow St,-43.53645,172.67026,2099,124,841,,,
11206,Aldwins Rd near Harrow St,-43.53719,172.66934,1668,54,,,,
11309,Aldwins Rd near Marlborough St,-43.53465,172.67156,16429,1101,6817,,,
36891,Aldwins Rd near Marlborough St,-43.53442,172.67232,4343,198,,,,
36929,Aldwins Rd near Matlock St,-43.54177,172.66646,2318,112,553,,,
38243,Amyes Rd near Branston St,-43.54737,172.52764,415,11,179,,,
38236,Amyes Rd near Branston St,-43.54727,172.52775,301,9,,,,
24247,Amyes Rd near Shands Rd,-43.54565,172.52574,648,21,116,,,
38262,Amyes Rd near Shands Rd,-43.5464,172.5265,379,8,,,,
38197,Amyes Rd near Trevor St,-43.55145,172.53269,1078,72,412,,,
38204,Amyes Rd near Trevor St,-43.55132,172.53277,61,0,,,,
38227,Amyes Rd near Witham St,-43.54937,172.53013,360,3,96,,,
38215,Amyes Rd near Witham St,-43.54953,172.53054,74,1,,,,
50636,Annex Rd near Birmingham Dr,-43.54353,172.58289,8,0,,,,
50627,Annex Rd near Nazareth Ave,-43.54331,172.58179,473,6,37,,,
50658,Annex Rd near Railway,-43.5404,172.57788,2338,82,161,,,
50643,Annex Rd near Railway,-43.54016,172.57736,416,12,,,,
29468,Antigua St near Disraeli St,-43.54313,172.62784,1401,58,323,,,
29577,Antigua St near Fairfield Ave,-43.54445,172.62801,136,12,52,,,
36051,Ara Institute,-43.53678,172.64422,13884,244,1093,,,
44242,Ashley St near Coldstream Rd,-43.29314,172.59364,411,16,82,,,
44566,Ashley St near Duke St,-43.29797,172.5948,2026,21,633,,,
44584,Ashley St near Duke St,-43.29777,172.59492,39,1,,,,
44261,Ashley St near Rickton Pl,-43.29354,172.59389,20,2,10,,,
44288,Ashley St near River Rd,-43.2897,172.59278,261,11,42,,,
44014,Ashley St near River Rd,-43.28973,172.59295,25,0,,,,
21677,Aston Dr near Ballance St,-43.48367,172.72025,1069,29,256,,,
21654,Aston Dr near Beach Rd,-43.48591,172.72091,1099,29,150,,,
21568,Aston Dr near Beach Rd,-43.48573,172.72071,36,1,,,,
21886,Aston Dr near Orlando Cres,-43.48315,172.71993,38,0,33,,,
51685,Aston Dr near Torres Pines,-43.47529,172.71499,1379,46,141,,,
51692,Aston Dr near Torres Pines,-43.47545,172.7152,29,0,,,,
10331,Avonhead Mall,-43.511,172.55621,15524,779,2665,,,
10214,Avonhead Mall,-43.51083,172.55611,2057,119,,,,
10205,Avonhead Mall,-43.5096,172.55371,363,17,,,,
10349,Avonhead Mall,-43.50953,172.55381,167,7,,,,
38150,Awatea Rd near Awatea Gdns,-43.55417,172.53811,1924,92,200,,,
38166,Awatea Rd near Awatea Gdns,-43.554,172.53813,287,8,,,,
51017,Awatea Rd near Carrs Rd,-43.56107,172.55029,4521,141,502,,,
51001,Awatea Rd near Carrs Rd,-43.56102,172.55052,827,21,,,,
38178,Awatea Rd near Dix St,-43.55253,172.53606,1463,97,218,,,
38184,Awatea Rd near Dix St,-43.55255,172.53633,411,11,,,,
39042,Awatea Rd near Owaka Rd,-43.55774,172.54411,1218,74,176,,,
39035,Awatea Rd near Owaka Rd,-43.55749,172.54387,66,1,,,,
17658,Aylesbury Rd near Queens Dr,-43.61259,172.31279,12,0,7,,,
50211,Aylesbury Rd near Runners Rd,-43.61269,172.31268,351,23,57,,,
50194,Aylesbury Rd near Two Chain Rd,-43.60453,172.30704,4,0,,,,
23545,Aylmer St and Colombo St,-43.5588,172.63679,4577,106,686,,,
19751,Aylsham Ln near Regents Park Dr,-43.47033,172.60872,80,0,,,,
24418,Barbadoes St near Bealey Ave,-43.52011,172.64605,1711,21,170,,,
24015,Barbadoes St near Bealey Ave,-43.52034,172.64579,265,6,,,,
24402,Barbadoes St near Canon St,-43.51584,172.64604,2640,107,377,,,
24814,Barbadoes St near Canon St,-43.51544,172.64586,690,59,,,,
38364,Barbadoes St near Edgeware Rd,-43.51308,172.64603,4851,195,386,,,
38505,Barbadoes St near Edgeware Rd,-43.51283,172.64585,842,35,,,,
38496,Barbadoes St near Edward Ave,-43.51141,172.64602,1717,46,135,,,
38477,Barbadoes St near Edward Ave,-43.5114,172.64585,258,9,,,,
24441,Barbadoes St near Purchas St,-43.51883,172.64604,1973,48,217,,,
24954,Barbadoes St near Purchas St,-43.51839,172.64587,252,13,,,,
22141,Barrington Mall (Athelstan St),-43.55661,172.62061,13257,733,3139,,,
22398,Barrington Mall (Athelstan St),-43.55713,172.62007,5508,403,,,,
11378,Barrington Mall (Barrington St),-43.55638,172.61782,12228,782,5343,,,
11384,Barrington Mall (Barrington St),-43.55702,172.61875,5455,391,,,,
11418,Barrington St near Bewdley St,-43.55204,172.61292,3935,198,1260,,,
37600,Barrington St near Bewdley St,-43.55222,172.61337,2191,122,,,,
22474,Barrington St near Conway St,-43.56123,172.62323,1459,25,135,,,
22367,Barrington St near Conway St,-43.56106,172.62325,98,0,,,,
11473,Barrington St near Hammond Pl,-43.55047,172.61111,3992,176,656,,,
37541,Barrington St near Neville St,-43.5506,172.61149,1867,84,494,,,
22442,Barrington St near Strauss Pl,-43.55899,172.62072,645,24,43,,,
22314,Barrington St near Strauss Pl,-43.55921,172.62118,73,4,,,,
11965,Barrington St near Wychbury St,-43.55461,172.61581,2054,52,281,,,
39591,Bassett St near Parnwell St,-43.49702,172.68846,3073,150,1018,,,
39163,Bassett St near Parnwell St,-43.49676,172.68833,475,23,,,,
39090,Bassett St near Tobin Ln,-43.49957,172.68806,571,17,135,,,
39100,Bassett St near Tobin Ln,-43.49906,172.68798,279,23,,,,
39214,Bassett St near Vivian St,-43.49374,172.69076,1957,50,426,,,
39159,Bassett St near Vivian St,-43.49345,172.69078,522,17,,,,
18584,Beach Rd near Bower Ave,-43.48645,172.71253,3978,194,572,,,
13713,Beach Rd near Bower Ave,-43.48636,172.71266,177,5,,,,
40869,Beach Rd near Britannia St,-43.48638,172.71896,2539,79,796,,,
12132,Beach Rd near Britannia St,-43.48628,172.71866,166,10,,,,
12075,Beach Rd near Donnington St,-43.48647,172.70444,231,0,15,,,
18773,Beach Rd near Effingham St,-43.48639,172.71622,2382,55,280,,,
13721,Beach Rd near Effingham St,-43.48629,172.71637,56,1,,,,
12546,Bealey Ave,-43.52025,172.62751,11350,273,3426,,,
52894,Bealey Ave,-43.52176,172.62879,5849,189,,,,
14840,Bealey Ave,-43.52162,172.6397,2582,54,,,,
14216,Bealey Ave,-43.5227,172.63669,2413,67,,,,
14990,Bealey Ave,-43.52204,172.63652,589,10,,,,
28830,Bealey Ave,-43.52072,172.64019,443,24,,,,
28797,Bealey Ave near Madras St,-43.521,172.64206,1924,43,,,,
28811,Bealey Ave near Madras St,-43.52072,172.643,260,8,226,,,
11753,Beckenham,-43.56914,172.63663,1473,39,343,,,
15361,Belfast,-43.44365,172.6335,12041,461,1080,,,
12355,Belfast,-43.43927,172.63608,74,1,,,,
15374,Belfast-Factory Rd,-43.44365,172.63348,2,0,,,,
24544,Bentley St near Cutts Rd,-43.51976,172.54339,3194,112,232,,,
24619,Bentley St near Delaware Cres,-43.5191,172.54122,1328,47,350,,,
24172,Bentley St near Pinehurst Cres,-43.51889,172.54034,946,25,153,,,
18889,Beresford St,-43.50841,172.72778,8110,572,2315,,,
54066,Birchs Rd near Barton Fields Dr,-43.63146,172.4926,2551,79,536,,,
45166,Birchs Rd near Glenwood Dr,-43.5881,172.50969,5669,86,594,,,
46011,Birchs Rd near Glenwood Dr,-43.58774,172.5098,2610,29,,,,
47267,Birchs Rd near Grangewood Dr,-43.63356,172.491,5161,118,660,,,
25897,Birchs Rd near Hamptons Rd,-43.59635,172.51129,176,4,55,,,
28323,Birchs Rd near Robinsons Rd,-43.6139,172.50864,4291,50,233,,,
25026,Birchs Rd near Robinsons Rd,-43.61397,172.50875,79,1,,,,
50615,Birmingham Dr near Craft Pl,-43.54344,172.58594,864,29,108,,,
50604,Birmingham Dr near Craft Pl,-43.54355,172.58594,287,12,,,,
50593,Birmingham Dr near Halls Pl,-43.54458,172.5919,2625,84,424,,,
50586,Birmingham Dr near Halls Pl,-43.54494,172.59309,620,31,,,,
19492,Bishopdale Mall (Harewood Rd),-43.48781,172.58785,7261,459,2061,,,
19170,Bishopdale Mall (Harewood Rd),-43.48793,172.58753,4109,255,,,,
47377,Blenheim Rd near Acheron Dr,-43.53857,172.58434,1800,81,233,,,
32030,Blenheim Rd near Cable St,-43.53927,172.56148,1117,12,73,,,
28489,Blenheim Rd near Curletts Rd,-43.53928,172.57033,3853,160,997,,,
28064,Blenheim Rd near Curletts Rd,-43.53947,172.56939,2429,22,,,,
28055,Blenheim Rd near Curletts Rd,-43.53936,172.56595,1046,12,,,,
28072,Blenheim Rd near Hansons Ln,-43.53936,172.57345,3559,42,312,,,
40436,Blenheim Rd near Hansons Ln,-43.53916,172.57355,2248,35,,,,
28539,Blenheim Rd near Middleton Rd,-43.5385,172.58258,4038,150,1601,,,
28525,Blenheim Rd near Penn Pl,-43.53877,172.57887,721,26,232,,,
29793,Blenheim Rd near Penn Pl,-43.53891,172.57956,645,23,,,,
28086,Blenheim Rd near Watts Rd,-43.53916,172.56529,250,17,188,,,
28093,Blenheim Rd near Watts Rd,-43.53903,172.55882,249,7,,,,
29874,Blenheim Rd near Watts Rd,-43.53906,172.56151,120,1,,,,
45420,Bluestone Dr near Alpine View,-43.47318,172.67327,3954,62,125,,,
20759,Bower Ave,-43.49472,172.71106,6607,293,2101,,,
20763,Bower Ave near Castletown Pl,-43.49755,172.71064,2693,105,805,,,
20613,Bower Ave near Castletown Pl,-43.49751,172.71048,29,0,,,,
51663,Bower Ave near Crofts Ln,-43.47797,172.71082,1539,36,284,,,
51671,Bower Ave near Crofts Ln,-43.47762,172.71081,10,0,,,,
40190,Bower Ave near Dick Taylor Dr,-43.49236,172.71141,5707,189,1377,,,
20582,Bower Ave near Dick Taylor Dr,-43.49206,172.71129,575,6,,,,
20962,Bower Ave near New Brighton Rd,-43.50304,172.70966,78,2,36,,,
20569,Bower Ave near Palmers Rd,-43.49603,172.7107,62,1,36,,,
40188,Bower Ave near Pinewood Ave,-43.48881,172.7118,1909,72,584,,,
20887,Bower Ave near Pinewood Ave,-43.48897,172.71161,52,2,,,,
20576,Bower Ave near Saltaire St,-43.49451,172.71092,731,11,384,,,
20771,Bower Ave near Thurso Pl,-43.49981,172.71031,1512,68,273,,,
20609,Bower Ave near Thurso Pl,-43.49975,172.71014,51,1,,,,
20065,Breezes Rd near Eglinton St,-43.50948,172.68973,13286,37,949,,,
42336,Bridle Path Rd,-43.58362,172.7071,535,21,259,,,
42370,Bridle Path Rd,-43.58386,172.70679,432,12,,,,
42481,Bridle Path Rd near Cannon Hill Cres,-43.56315,172.7095,7,0,3,,,
42327,Bridle Path Rd near Ferrymead Park Dr,-43.56376,172.70883,5,0,,,,
42389,Bridle Path Rd near Hammerton Ln,-43.5715,172.71077,12,1,,,,
42358,Bridle Path Rd near Port Hills Rd,-43.58206,172.70808,1035,29,247,,,
42406,Bridle Path Rd near Port Hills Rd,-43.58228,172.70808,209,14,,,,
41056,Bridle Path Rd near Rollin St,-43.57889,172.71014,363,10,79,,,
42423,Bridle Path Rd near Rollin St,-43.57954,172.70989,79,5,,,,
24321,Briggs Rd,-43.49624,172.65307,2389,138,184,,,
53995,Briggs Rd,-43.49613,172.65314,233,25,,,,
24724,Briggs Rd near Innes Rd,-43.49516,172.65043,357,10,146,,,
24117,Briggs Rd near Innes Rd,-43.49561,172.65079,287,8,,,,
46736,Brittan Tce near Seaview Tce,-43.60484,172.70973,64,0,3,,,
41162,Brittan Tce near Seaview Tce,-43.6046,172.70999,6,0,5,,,
41018,Brittan Tce near Simeon Qy,-43.60313,172.71181,324,7,,,,
20446,Broadhaven Ave near Anglesea Ave,-43.4748,172.70248,10,0,7,,,
20894,Broadhaven Ave near Ferngrove Pl,-43.47355,172.69945,2364,83,230,,,
20422,Broadhaven Ave near Ferngrove Pl,-43.47346,172.69953,12,1,,,,
20958,Broadhaven Ave near Inwoods Rd,-43.47492,172.70257,1642,50,294,,,
20405,Broadhaven Ave near Jacaranda Pl,-43.47205,172.6983,1,0,1,,,
20507,Broadhaven Ave near Queenspark Dr,-43.47173,172.69705,2443,64,433,,,
52771,Broadlands Dr near Goulds Rd,-43.60673,172.38398,1238,14,176,,,
51436,Broadlands Dve near Goulds Rd,-43.60664,172.38401,633,18,130,,,
51709,Bromley Rd near Raymond Rd,-43.53889,172.69164,18,0,,,,
51713,Bromley Rd near Raymond Rd,-43.53886,172.69131,8,0,,,,
52818,Brookside Rd near East Maddisons Rd,-43.60526,172.36472,5465,235,766,,,
52841,Brookside Rd near East Maddisons Rd,-43.60532,172.36482,398,14,,,,
52802,Brookside Rd near Stonebrook Dr,-43.60058,172.36922,1751,54,298,,,
52856,Brookside Rd near Stonebrook Dr,-43.60084,172.36914,49,5,,,,
32552,Brougham St near Albemarle St,-43.54758,172.64119,615,24,148,,,
32791,Brougham St near Albemarle St,-43.54734,172.64125,416,13,,,,
29148,Brougham St near Barrie St,-43.54783,172.6259,710,29,61,,,
42971,Brougham St near Brisbane St,-43.54757,172.64413,1154,62,356,,,
32770,Brougham St near Brisbane St,-43.54733,172.64437,375,22,,,,
32608,Brougham St near Defoe Place,-43.54785,172.64947,2693,170,369,,,
29596,Brougham St near James K Baxter Pl,-43.54795,172.62675,569,10,11,,,
29554,Brougham St near Kipling St,-43.54778,172.62384,27,2,6,,,
29130,Brougham St near Somerset Cres,-43.5475,172.62368,478,22,65,,,
42959,Brougham St near Waltham Rd,-43.54757,172.64612,3665,163,614,,,
32612,Brougham St near Wilsons Rd,-43.54845,172.65212,3304,125,620,,,
32523,Brougham St near Wilsons Rd,-43.54823,172.65216,351,15,,,,
25003,Buchanans Rd,-43.5312,172.53083,45,4,31,,,
24313,Buchanans Rd near Cicada Pl,-43.53279,172.53663,1962,65,242,,,
25035,Buchanans Rd near Cicada Pl,-43.5329,172.53644,170,7,,,,
44815,Buchanans Rd near Dumfries Dr,-43.53161,172.53276,2589,127,352,,,
32007,Buchanans Rd near Dumfries Dr,-43.53178,172.53272,293,28,,,,
24332,Buchanans Rd near Peebles Dr,-43.53372,172.53957,1199,30,452,,,
24062,Buchanans Rd near Peebles Dr,-43.53444,172.54194,984,25,,,,
14198,Buchanans Rd near Peebles Dr,-43.53463,172.54215,198,19,,,,
25042,Buchanans Rd near Peebles Dr,-43.53378,172.53933,79,3,,,,
24460,Buchanans Rd near Racecourse Rd,-43.53549,172.54542,2088,69,155,,,
14200,Buchanans Rd near Racecourse Rd,-43.5354,172.54467,178,2,,,,
42512,Buchanans Rd near Vanguard Dr,-43.53012,172.52787,953,57,266,,,
14244,Buchanans Rd near Vanguard Dr,-43.53021,172.52754,335,13,,,,
18862,Buckleys Rd and Dacre St,-43.52897,172.67919,7280,304,1286,,,
11172,Buckleys Rd near Butterfield Ave,-43.5284,172.67945,3393,139,872,,,
40231,Buckleys Rd near Kerrs Rd,-43.52713,172.68177,2308,127,566,,,
36889,Buckleys Rd near Pamela St,-43.5305,172.67715,2300,104,330,,,
11299,Buckleys Rd near Rhona St,-43.53065,172.67655,1993,133,643,,,
26590,Buckleys Rd near Rudds Rd,-43.52651,172.68216,859,35,384,,,
17834,Burnham,-43.61636,172.29863,756,45,124,,,
37663,Burnside High School,-43.50699,172.57912,16763,509,7622,,,
36578,Burnside High School,-43.50669,172.5792,15288,314,,,,
