stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
24814,24814,Barbadoes St near Canon St,null,-43.51544,172.64586,,,,,,1
40064,40064,Hussey Rd near Springvale Gdns,null,-43.46238,172.59192,,,,,,1
22636,22636,Waltham Rd near Coleridge St,null,-43.54577,172.64697,,,,,,1
43571,43571,Memorial Ave near Ilam Rd,null,-43.51205,172.58006,,,,,,1
18131,18131,Hardy St near Beresford St,null,-43.50875,172.72482,,,,,,1
20451,20451,Hills Rd near Warden St,null,-43.51144,172.65174,,,,,,1
42241,42241,Main North Rd near Kaiapoi Golf Club,null,-43.37198,172.66372,,,,,,1
46608,46608,Halswell Junction Rd near Foremans Rd,null,-43.54362,172.50702,,,,,,1
17282,17282,Highsted Rd near Sapphire St,null,-43.47952,172.59492,,,,,,1
45757,45757,O'Neill Ave near Beechwood Dr,null,-43.46302,172.61903,,,,,,1
21789,21789,Effingham St near Marine Pde,null,-43.49061,172.72417,,,,,,1
12837,12837,Lincoln Rd near Nairn St,null,-43.54811,172.60438,,,,,,1
10656,10656,Guildford St near Wayside Ave,null,-43.50507,172.5802,,,,,,1
36804,36804,Gayhurst Rd near Strathfield Ave,null,-43.51055,172.67379,,,,,,1
53383,53383,Lake Tce Rd near New Brighton Rd,null,-43.50019,172.68355,,,,,,1
54239,54239,Innes Rd near Nancy Ave,null,-43.49984,172.6385,,,,,,1
11500,11500,The Hub Hornby,null,-43.54227,172.52248,,,,,,1
33779,33779,Patterson Tce near Alvaston Dr,null,-43.57556,172.5534,,,,,,1
20467,20467,Hills Rd near Dudley St,null,-43.51497,172.65175,,,,,,1
41382,41382,Fendalton Rd near Waiwetu St,null,-43.51879,172.59194,,,,,,1
18149,18149,Seaview Rd,null,-43.5087,172.72312,,,,,,1
17295,17295,Veitches Rd near Larch Pl,null,-43.48159,172.59845,,,,,,1
40055,40055,Town Hall,null,-43.3042,172.58964,,,,,,1
21791,21791,Effingham St near Surfers Pl,null,-43.4917,172.72115,,,,,,1
23972,23972,Sydenham Shops,null,-43.54709,172.63677,,,,,,1
39061,39061,Travis Rd near Travis Country Dr,null,-43.49315,172.69756,,,,,,1
42239,42239,Winchester St near Coleridge Tce,null,-43.60097,172.71972,,,,,,1
54241,54241,Greers Rd near Westburn Terrace,null,-43.51008,172.57504,,,,,,1
11516,11516,Rossall St near Rhodes St,null,-43.52164,172.6171,,,,,,1
10660,10660,Carlton Mill Rd near Shrewsbury St,null,-43.52094,172.62375,,,,,,1
29273,29273,Regents Park Dr near Styx Mill Rd,null,-43.46936,172.61551,,,,,,1
12844,12844,Papanui Rd near Webb St,null,-43.5153,172.62416,,,,,,1
33767,33767,Nottingham Ave near Arkwright Pl,null,-43.57376,172.55683,,,,,,1
11996,11996,St Martins Rd near Ensors Rd,null,-43.55284,172.65729,,,,,,1
17269,17269,Veitches Rd near Kimberley St,null,-43.48195,172.59523,,,,,,1
40040,40040,Port Hills Rd near Curries Rd,null,-43.56225,172.67573,,,,,,1
39057,39057,New Brighton Rd near Locksley Ave,null,-43.50415,172.68201,,,,,,1
23940,23940,Colombo St near Southampton St,null,-43.55256,172.63692,,,,,,1
15083,15083,Main North Rd near Parsonage Rd,null,-43.3214,172.6657,,,,,,1
11965,11965,Barrington St near Wychbury St,null,-43.55461,172.61581,,,,,,1
32421,32421,Opawa Rd near Brougham St,null,-43.55494,172.67,,,,,,1
29241,29241,Regents Park Dr near Styx Mill Rd,null,-43.46917,172.61561,,,,,,1
10639,10639,Clyde Rd near Morley St,null,-43.50562,172.58677,,,,,,1
33751,33751,Patterson Tce near Clipston Pl,null,-43.57403,172.55363,,,,,,1
12816,12816,Papanui Rd near Weston Rd,null,-43.50781,172.6179,,,,,,1
54256,54256,Greers Rd near Westburn Terrace,null,-43.5107,172.57461,,,,,,1
55108,55108,Rolleston College,null,-43.60561,172.38841,,,,,,1
23955,23955,Colombo St near Byron St,null,-43.54295,172.63674,,,,,,1
39042,39042,Awatea Rd near Owaka Rd,null,-43.55774,172.54411,,,,,,1
38197,38197,Amyes Rd near Trevor St,null,-43.55145,172.53269,,,,,,1
24805,24805,Yaldhurst Rd near Bucknell St,null,-43.52738,172.55749,,,,,,1
