route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
3_67_3,1,4425,Sumner via City,,0,3607,2153,1,1
107_71_3,1,7394,Styx Mill & Supa Centa,,1,10761,2119,1,1
Oc_36_3,1,5184,Orbiter via St Martins,,1,89601,2210,1,1
5_14_3,1,3035,Rolleston via City,,1,5602,3347,1,1
Oc_36_3,1,5154,Orbiter via St Martins,,1,89601,2210,1,1
95_26_3,1,1882,Pegasus,,1,9564,3372,1,1
7_77_3,1,5361,Queenspark via City,,1,7607,3356,1,1
29_04_3,1,2435,City via Fendalton,,0,2963,2150,1,1
107_71_3,1,7390,Northlands,,0,10761,2120,1,1
107_71_3,1,7385,Northlands,,0,10761,2120,1,1
27_17_3,1,10615,Huntsbury via City,,0,27606,3419,1,1
130_73_3,1,3592,Hei Hei & Hornby,,0,13064,3318,1,1
27_17_3,1,10626,Huntsbury via City,,0,27605,3419,1,1
Oc_36_3,1,5182,Orbiter via St Martins,,1,89607,2210,1,1
Oa_36_3,1,5023,Orbiter via The Palms,,0,99604,3381,1,1
Oc_36_3,1,5179,Orbiter via St Martins,,1,89609,2210,1,1
7_77_3,1,5388,Queenspark via City,,1,7610,3356,1,1
107_71_3,1,7402,Styx Mill & Supa Centa,,1,10761,2119,1,1
130_73_3,1,3625,Avonhead,,1,13061,3321,1,1
7_77_3,1,5370,Queenspark via City,,1,7609,3356,1,1
3_67_3,1,4344,Airport via University,,1,3607,3340,1,1
125_05_3,1,3822,Redwood via Hornby,,1,25601,3402,1,1
3_67_3,1,4326,Airport via University,,1,3602,3340,1,1
80_61_3,1,1755,Parklands via City,,0,8066,3357,1,1
8_44_3,1,10139,Lyttelton & Rapaki via City & Colombo St,,0,80605,3503,1,1
130_73_3,1,3588,Hei Hei & Hornby,,0,13064,3318,1,1
820_74_3,1,3961,Lincoln,,0,82061,3364,1,1
7_77_3,1,5378,Queenspark via City,,1,7602,3356,1,1
130_73_3,1,3596,Avonhead,,1,13064,3321,1,1
135_63_3,1,7596,The Palms via Prestons,,1,13562,3323,1,1
80_61_3,1,1758,City,,0,8066,3359,1,1
125_05_3,1,3771,Westlake & Halswell via Hornby,,0,25606,3403,1,1
80_61_3,1,1750,Parklands via City,,0,8065,3357,1,1
Oc_36_3,1,5599,Orbiter via St Martins,,1,89605,2210,1,1
1_62_3,1,1440,Princess Margaret Hospital,,0,1613,3308,1,1
29_04_3,1,2464,Airport via Fendalton,,1,2963,2151,1,1
3_67_3,1,4367,Sumner via City,,0,3609,2153,1,1
3_67_3,1,4315,Sheffield Cres via University,,1,3604,3339,1,1
1_62_3,1,1417,Princess Margaret Hospital & Cashmere,,0,1607,2108,1,1
F_94_4,1,7052,Lyttelton,,0,6666,2206,1,1
1_62_3,1,1367,Rangiora via City,,1,1604,3303,1,1
5_14_3,1,3005,Hornby via City,,1,5604,3346,1,1
1_62_3,1,1467,Princess Margaret Hospital,,0,1610,2110,1,1
5_14_3,1,3001,Hornby via City,,1,5602,3346,1,1
5_14_3,1,3031,Hornby via City,,1,5604,3346,1,1
7_77_3,1,5420,Halswell via City,,0,7612,2422,1,1
80_61_3,1,1785,Lincoln via City,,1,8066,3361,1,1
3_67_3,1,4364,Airport via University,,1,3608,3340,1,1
95_26_3,1,1902,City & Ara Institute,,0,9563,3376,1,1
5_14_3,1,3022,Rolleston via City,,1,5610,3347,1,1
44_01_3,1,3440,Westmorland via City,,0,4461,3344,1,1
3_67_3,1,4393,Sumner via City,,0,3612,2153,1,1
1_62_3,1,1357,Belfast via City,,1,1610,3302,1,1
60_66_3,1,3291,Southshore via City,,0,6063,3352,1,1
140_00_3,1,2645,Russley & Hornby via Eastgate,,0,1465,2132,1,1
97_72_3,1,1987,Acacia Ave Rangiora,,1,9563,2204,1,1
3_67_3,1,4359,Airport via University,,1,3610,3340,1,1
80_61_3,1,1764,Lincoln via City,,1,8066,3361,1,1
3_67_3,1,4429,Sumner via City,,0,3603,3337,1,1
135_63_3,1,7595,The Palms via Prestons,,1,13561,3323,1,1
140_00_3,1,2613,Mt Pleasant via Eastgate,,1,1461,2134,1,1
F_94_4,1,7060,Lyttelton,,0,6666,2206,1,1
7_77_3,1,5393,Queenspark via City,,1,7603,3356,1,1
5_14_3,1,3002,Rolleston via City,,1,5608,3347,1,1
5_14_3,1,3025,Hornby via City,,1,5606,3346,1,1
100_36_3,1,4920,The Palms,,0,10066,3312,1,1
125_05_3,1,3817,Redwood via Hornby,,1,25602,3402,1,1
3_67_3,1,4357,Airport via University,,1,3608,3340,1,1
100_36_3,1,4882,Halswell,,1,10065,3314,1,1
5_14_3,1,3015,Hornby via City,,1,5612,3346,1,1
60_66_3,1,3278,Southshore via City,,0,6064,3352,1,1
27_17_3,1,10655,Northwood via City,,1,27601,3432,1,1
Oc_36_3,1,5166,Orbiter via St Martins,,1,89609,2210,1,1
125_05_3,1,3782,Westlake & Halswell via Hornby,,0,25604,3403,1,1
Oc_36_3,1,5600,Orbiter via St Martins,,1,89604,2210,1,1
1_62_3,1,1410,Belfast via City,,1,1617,3304,1,1
100_36_3,1,4900,The Palms,,0,10061,3312,1,1
Oa_36_3,1,5040,Orbiter via The Palms,,0,99608,3381,1,1
80_61_3,1,1781,Lincoln via City,,1,8062,3361,1,1
820_74_3,1,3950,Burnham,,1,82062,3365,1,1
3_67_3,1,4349,Sheffield Cres via University,,1,3612,3339,1,1
1_62_3,1,1386,Belfast via City,,1,1606,3302,1,1
1_62_3,1,1392,Belfast via City,,1,1617,3302,1,1
Oc_36_3,1,5593,Orbiter via St Martins,,1,89602,2210,1,1
Oa_36_3,1,5057,Orbiter via The Palms,,0,99602,3381,1,1
1_62_3,1,1378,Belfast via City,,1,1610,3302,1,1
27_17_3,1,10632,Northwood via City,,1,27601,3432,1,1
80_61_3,1,1734,Parklands via City,,0,8061,3357,1,1
100_36_3,1,4912,The Palms,,0,10063,3312,1,1
100_36_3,1,4866,Halswell,,1,10062,3314,1,1
1_62_3,1,1374,Belfast via City,,1,1603,3302,1,1
29_04_3,1,2482,Airport via Fendalton,,1,2963,2151,1,1
130_73_3,1,3620,Avonhead,,1,13064,3321,1,1
140_00_3,1,2637,Mt Pleasant via Eastgate,,1,1465,2134,1,1
107_71_3,1,7397,Styx Mill & Supa Centa,,1,10761,2119,1,1
135_63_3,1,7601,New Brighton via Prestons,,0,13562,3324,1,1
80_61_3,1,1786,Lincoln via City,,1,8067,3361,1,1
100_36_3,1,4905,The Palms,,0,10061,3312,1,1
107_71_3,1,7399,Styx Mill & Supa Centa,,1,10761,2119,1,1
Oc_36_3,1,5183,Orbiter via St Martins,,1,89608,2210,1,1
1_62_3,1,1389,Rangiora via City,,1,1618,3303,1,1
130_73_3,1,3586,Hei Hei & Hornby,,0,13065,3318,1,1
100_36_3,1,4883,Halswell,,1,10066,3314,1,1
7_77_3,1,5427,Halswell via City,,0,7606,2422,1,1
120_42_3,1,4076,Spreydon & Barrington,,0,12062,3317,1,1
140_00_3,1,2619,Mt Pleasant via Eastgate,,1,1461,2134,1,1
5_14_3,1,2992,Hornby via City,,1,5608,3346,1,1
Oa_36_3,1,5042,Orbiter via The Palms,,0,99601,3381,1,1
60_66_3,1,3264,Hillmorton & Wigram via City,,1,6063,3354,1,1
Oc_36_3,1,5191,Orbiter via St Martins,,1,89603,2210,1,1
100_36_3,1,4892,Halswell,,1,10065,3314,1,1
8_44_3,1,10182,Airport via Colombo St & City,,1,80605,3604,1,1
8_44_3,1,10153,Lyttelton via City & Colombo St,,0,80604,3502,1,1
80_61_3,1,1747,Parklands via City,,0,8061,3357,1,1
60_66_3,1,3249,Hillmorton & Wigram via City,,1,6061,3354,1,1
5_14_3,1,2961,New Brighton via City,,0,5612,2166,1,1
1_62_3,1,1401,Rangiora via City,,1,1613,3303,1,1
7_77_3,1,5362,Queenspark via City,,1,7604,3356,1,1
3_67_3,1,4409,Sumner via City,,0,3602,2153,1,1
29_04_3,1,2471,Airport via Fendalton,,1,2961,2151,1,1
3_67_3,1,4356,Sheffield Cres via University,,1,3607,3339,1,1
125_05_3,1,3777,Westlake & Halswell via Hornby,,0,25606,3403,1,1
29_04_3,1,2445,City via Fendalton,,0,2961,2150,1,1
8_44_3,1,10199,Airport via Colombo St & City,,1,80611,3602,1,1
44_01_3,1,3443,Shirley & Dallington,,1,4462,3345,1,1
60_66_3,1,3232,Hillmorton & Wigram via City,,1,6064,3354,1,1
5_14_3,1,3041,Hornby via City,,1,5611,3346,1,1
8_44_3,1,10206,Airport via Colombo St & City,,1,80606,3602,1,1
140_00_3,1,2650,Russley & Hornby via Eastgate,,0,1464,2132,1,1
100_36_3,1,4889,Halswell,,1,10062,3314,1,1
Oc_36_3,1,5596,Orbiter via St Martins,,1,89604,2210,1,1
29_04_3,1,2441,City via Fendalton,,0,2963,2150,1,1
7_77_3,1,5365,Queenspark via City,,1,7611,3356,1,1
100_36_3,1,4906,The Palms,,0,10063,3312,1,1
125_05_3,1,3769,Westlake & Halswell via Hornby,,0,25603,3403,1,1
8_44_3,1,10167,Lyttelton via City & Colombo St,,0,80604,3502,1,1
27_17_3,1,10609,Huntsbury via City,,0,27606,3419,1,1
3_67_3,1,4417,Sumner via City,,0,3610,2153,1,1
5_14_3,1,2959,New Brighton via City,,0,5611,2166,1,1
7_77_3,1,5392,Queenspark via City,,1,7608,3356,1,1
130_73_3,1,3575,Hei Hei & Hornby,,0,13062,3318,1,1
27_17_3,1,10608,Huntsbury via City,,0,27601,3419,1,1
7_77_3,1,5422,Halswell via City,,0,7604,2422,1,1
29_04_3,1,2460,Airport via Fendalton,,1,2961,2151,1,1
29_04_3,1,2472,Airport via Fendalton,,1,2962,2151,1,1
820_74_3,1,3954,Burnham,,1,82062,3365,1,1
Oc_36_3,1,5193,Orbiter via St Martins,,1,89605,2210,1,1
100_36_3,1,4885,Halswell,,1,10064,3314,1,1
Oc_36_3,1,5594,Orbiter via St Martins,,1,89603,2210,1,1
27_17_3,1,10658,Northwood via City,,1,27603,3432,1,1
Oa_36_3,1,5661,Orbiter via The Palms,,0,99603,3381,1,1
7_77_3,1,5371,Queenspark via City,,1,7601,3356,1,1
7_77_3,1,5375,Queenspark via City,,1,7605,3356,1,1
125_05_3,1,3796,Westlake & Halswell via Hornby,,0,25602,3403,1,1
7_77_3,1,5453,Halswell via City,,0,7609,2422,1,1
107_71_3,1,7386,Northlands,,0,10761,2120,1,1
3_67_3,1,4402,Sumner via City,,0,3608,3337,1,1
8_44_3,1,10154,Lyttelton via City & Colombo St,,0,80607,3502,1,1
125_05_3,1,3797,Westlake & Halswell via Hornby,,0,25603,3403,1,1
F_94_4,1,7044,Lyttelton,,0,6666,2206,1,1
8_44_3,1,10175,Airport via Colombo St & City,,1,80608,3602,1,1
5_14_3,1,3017,Hornby via City,,1,5608,3346,1,1
7_77_3,1,5400,Queenspark via City,,1,7608,3356,1,1
140_00_3,1,2626,Mt Pleasant via Eastgate,,1,1461,2134,1,1
3_67_3,1,4430,Sumner via City,,0,3606,3337,1,1
